id,name,type,stars,location,num_of_reviews,גישה לתחבורה ציבורית,גינה חיצונית,שירות הזמן שולחן,לסילבסטר,"פתוח במוצ""ש",מסעדת שף,בר מסעדה,אזור עישון,Wi-fi,מסעדה בטבע,מסעדות על הים,פתוח בשבת,פתוח בשישי,Take Away,פתוח בפסח,מסעדה לא כשרה,24 שעות,קרייזי סאנדיי,נגישות לנכים,ציוד הגברה,לוקיישן לצילום,חדרי ישיבות,אפשרות ישיבה בחוץ,מזון מהיר,dog friendly,משלוחים,בר-סלט
80115399,פיש  - FISH,מסעדת דגים,4.5,"(31.99226475, 34.747960400539604)",137,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80022560,דוניאנא,מסעדה ים תיכונית,4,0,179,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80348774,מור מיט - MOR MEAT,מסעדה דרוזית,5,"(33.20076, 35.7779892)",2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80269491,רשטא,מסעדת בשרים,3.5,"(31.79592425, 35.21198075969497)",15,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
80345477,ג'וד - Joud,מסעדת בשרים,5,0,2,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
80206812,בני הדייג,מסעדת דגים,4,"(32.4442408, 34.88016615)",19,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
80316964,דגי בטשון - BATSHON,מסעדת דגים,4,"(32.06894, 34.782739)",1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
17425500,פונדק הצלבנים,מסעדה ים תיכונית,3.5,0,72,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
80341051,מסעדת עין בוקק,מסעדת בשרים,4.5,"(31.191618, 35.362547)",19,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72549070,דובנוב 8,ביסטרו,3.5,"(32.0744425, 34.783934)",24,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18616810,פיצה פצה,פיצריה,4.5,"(32.083669, 34.781624)",36,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0
80231119,פיצה עגבניה,פיצריה,4,"(29.6691951, 34.9903635)",5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1
